Cód do Município,Município,Mesoregiao,Regional de Saúde,População,Leitos,Estabelecimentos,Demografia Geral,Demografia Faixa Etária,Fluxo de Pacientes,Score Final
220090,Aroazes,Centro Norte Piauiense,Vale Do Sambito,5819,35.71,3.59,22.13,82.57,-0.95,28.61
220810,Pimenteiras,Centro Norte Piauiense,Vale Do Sambito,12150,39.29,4.85,21.34,78.33,-1.11,28.54
220900,Rio Grande do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,6434,35.71,4.46,21.76,80.95,-0.38,28.5
220620,Miguel Alves,Norte Piauiense,Entre Rios,33901,39.29,8.06,21.87,76.86,-3.66,28.48
220400,Francinópolis,Centro Norte Piauiense,Vale Do Sambito,5345,35.71,2.43,21.62,82.8,-0.52,28.41
220650,Monsenhor Hipólito,Sudeste Piauiense,Vale Do Rio Guaribas,7785,39.29,3.47,22.44,77.38,-0.62,28.39
220110,Avelino Lopes,Sudoeste Piauiense,Chapada Das Mangabeiras,11361,39.29,4.4,21.01,78.24,-1.02,28.38
220750,Palmeirais,Centro Norte Piauiense,Entre Rios,14633,35.85,5.73,21.56,79.93,-1.35,28.34
220660,Monte Alegre do Piauí,Sudoeste Piauiense,Chapada Das Mangabeiras,10618,39.29,3.82,25.31,74.28,-1.05,28.33
220490,Isaías Coelho,Sudeste Piauiense,Vale Do Canindè,8582,39.29,3.62,22.29,77.27,-0.94,28.31
221140,Várzea Grande,Centro Norte Piauiense,Vale Do Sambito,4382,35.71,2.04,22.08,82.06,-0.51,28.28
220160,Beneditinos,Centro Norte Piauiense,Entre Rios,10479,35.71,5.09,21.39,79.91,-1.12,28.2
220590,Manoel Emídio,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,5352,39.29,3.65,21.74,76.55,-0.23,28.2
220300,Cristalândia do Piauí,Sudoeste Piauiense,Chapada Das Mangabeiras,8350,39.29,3.99,21.56,76.32,-0.31,28.17
220270,Cocal,Norte Piauiense,Planície Litorânea,27901,39.65,6.5,20.38,76.28,-2.03,28.16
221090,Socorro do Piauí,Sudeste Piauiense,Vale Dos Rios Piauì E Itaueiras,4557,39.29,2.81,21.18,77.46,-0.43,28.06
220670,Nazaré do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,7307,32.14,4.49,21.72,82.48,-0.69,28.03
220550,José de Freitas,Centro Norte Piauiense,Entre Rios,39457,35.92,8.42,25.03,75.13,-4.46,28.01
220600,Marcos Parente,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,4546,35.71,2.01,22.56,80.21,-0.49,28.0
221170,Wall Ferraz,Sudeste Piauiense,Vale Do Rio Guaribas,4479,39.45,3.56,20.9,76.06,-0.38,27.92
